Country/Region,Confirmed
China,30612
Japan,45
Singapore,28
Thailand,25
Hong Kong,24
South Korea,23
Taiwan,16
Australia,14
Germany,12
Malaysia,12
US,12
Macau,10
Vietnam,10
France,6
United Arab Emirates,5
Canada,5
India,3
Italy,2
Philippines,2
Russia,2
UK,2
Belgium,1
Cambodia,1
Finland,1
Nepal,1
Spain,1
Sri Lanka,1
Sweden,1
